# hotness table: n_layer=43 n_expert=256 n_expert_used=6
# format: one row per layer, columns are expert activation counts (expert 0..N-1)
151,75,16,23,0,12,85,1,0,21,66,11,1,14,130,1,72,58,2,63,2,11,12,4,3,67,0,39,3,65,2,0,1,1,93,0,12,2,65,2,65,32,20,48,19,41,32,63,3,73,264,22,11,2,14,11,4,74,68,33,14,15,78,130,12,101,14,74,1,1,3,12,3,14,75,2,103,2,4,12,10,73,11,17,4,66,41,10,0,29,25,3,4,264,1,64,17,4,11,1,63,37,45,51,76,20,137,82,2,2,2,38,2,11,1,5,64,2,10,42,76,64,24,14,2,69,65,4,40,1,22,11,66,10,1,66,0,2,31,3,0,3,1,3,18,2,0,33,67,21,76,62,79,14,33,3,3,84,64,2,3,2,26,3,2,10,13,63,3,66,23,2,29,1,94,32,4,1,26,13,4,13,130,23,1,29,1,11,2,11,17,11,0,35,107,4,64,11,12,3,1,2,3,5,74,0,1,14,69,2,23,2,16,31,62,68,266,68,67,19,0,264,4,136,76,63,74,66,74,13,65,4,33,3,74,11,66,2,2,24,17,2,95,73,2,4,0,15,22,3,65,21,72,86,3,263
145,12,69,22,137,2,86,5,6,15,4,2,3,2,27,79,21,3,32,132,1,18,21,63,32,22,4,89,1,64,11,1,11,24,4,75,128,77,1,5,1,38,2,1,64,33,14,13,24,2,10,149,2,10,2,2,19,77,19,147,4,164,10,1,1,17,73,24,88,24,23,13,1,0,11,17,13,0,1,265,32,20,30,52,7,2,2,2,1,254,1,0,0,2,1,2,1,4,11,11,3,4,63,2,66,15,111,264,2,30,2,11,11,1,3,41,21,78,76,2,16,3,65,63,67,20,27,87,1,0,14,11,2,75,31,129,13,150,16,14,2,3,1,12,78,1,30,2,40,3,11,11,135,1,4,132,14,74,66,21,3,78,1,3,15,1,64,32,68,66,65,35,41,11,1,13,0,3,21,12,12,2,67,126,82,20,0,1,3,13,62,40,139,23,79,13,24,74,62,0,1,2,12,80,14,89,0,3,69,2,66,10,4,2,57,263,24,5,1,11,23,27,14,73,63,23,2,2,96,67,2,4,14,14,23,25,0,222,1,0,35,66,0,141,1,1,3,38,1,62,11,26,2,13,17,13
6,264,75,13,72,4,4,99,77,1,46,1,15,24,7,2,3,5,11,0,148,12,3,3,127,12,2,1,12,84,11,66,28,31,86,14,21,3,3,12,89,3,101,15,3,62,0,1,192,82,3,0,4,130,4,77,11,1,11,66,1,129,0,6,13,1,13,12,39,2,62,254,12,11,158,88,42,126,2,18,6,148,13,30,29,28,13,77,125,13,63,1,2,3,1,22,28,1,2,12,41,0,1,67,64,33,65,31,67,29,0,4,3,1,14,4,72,13,11,62,65,23,20,23,7,1,3,1,22,12,23,3,13,66,11,14,6,15,4,65,152,64,5,31,14,63,253,3,11,27,85,86,13,26,1,1,11,2,3,0,135,43,1,28,1,0,33,63,1,38,64,30,12,23,198,1,1,1,18,13,37,0,29,75,80,137,12,74,69,2,112,13,5,89,12,77,47,23,2,63,1,4,1,13,2,1,1,20,16,41,103,1,3,23,22,1,0,126,0,18,66,79,1,2,252,64,23,65,1,4,24,14,31,154,5,24,10,31,19,14,1,1,29,5,1,1,4,13,12,11,2,3,3,4,3,2
20,23,6,231,65,2,80,110,0,5,5,27,0,63,1,331,90,29,0,5,1,0,0,109,18,0,7,17,0,0,0,1,114,0,2,0,0,32,23,17,0,0,4,1,252,41,0,1,0,3,20,0,4,0,214,0,0,101,0,26,0,168,255,7,8,0,0,174,75,0,27,3,53,38,17,24,0,4,68,1,8,0,1,68,14,0,5,15,119,3,85,10,0,2,0,0,41,0,88,1,0,152,1,0,70,24,79,2,40,0,0,0,14,22,8,2,117,96,24,22,132,10,0,22,215,0,21,47,13,52,153,30,34,3,0,30,3,1,19,2,0,64,0,8,3,9,1,57,43,280,11,80,88,53,2,123,40,26,0,16,0,0,0,1,14,254,2,0,0,3,0,42,3,187,5,3,22,5,1,24,61,0,0,13,299,0,12,34,6,0,0,2,10,5,134,21,77,4,4,1,0,7,1,2,0,3,2,0,66,3,0,0,14,23,14,0,0,0,39,0,43,6,0,5,1,230,410,4,0,55,20,3,16,4,128,66,9,14,2,0,73,4,0,0,10,279,5,1,9,1,43,3,18,2,1,1
85,0,116,357,3,28,0,2,34,2,0,9,7,25,0,184,0,2,0,0,14,0,0,0,0,1,5,66,150,2,0,0,16,1,61,0,19,9,72,140,0,0,0,58,5,137,5,0,110,0,154,0,0,4,0,121,124,29,0,0,0,1,0,53,1,0,39,0,7,64,0,0,1,1,0,0,0,27,11,2,129,2,4,1,142,20,0,2,0,0,1,3,0,1,151,133,0,336,133,0,32,0,0,7,88,6,139,0,1,63,11,2,2,182,18,26,94,3,0,1,6,0,6,46,0,47,43,74,177,166,63,0,0,0,2,25,2,0,1,172,43,2,12,10,0,0,3,87,228,0,45,3,0,15,9,0,68,6,1,28,1,25,71,0,55,8,7,0,0,67,13,0,0,0,79,4,2,5,0,53,64,6,0,4,0,113,3,46,54,324,0,0,2,8,0,1,0,0,65,3,0,11,0,2,132,0,52,54,0,0,8,0,38,134,0,3,2,5,18,3,193,6,0,1,19,0,2,41,1,236,7,1,0,1,0,33,10,2,82,694,6,1,20,34,47,3,0,36,68,67,66,14,0,8,1,4
204,97,1,9,98,11,0,19,0,30,26,78,2,122,13,3,3,69,1,16,12,1,5,18,117,0,0,5,67,5,1,76,108,0,502,2,29,1,170,2,10,0,26,2,18,70,0,7,56,107,2,1,0,38,0,2,38,282,1,14,347,2,0,9,93,6,0,0,23,0,0,0,20,1,17,5,12,1,2,0,2,0,0,20,46,259,0,64,9,0,112,34,42,16,4,8,1,0,5,1,0,2,1,0,11,1,41,13,1,62,33,0,4,4,124,51,0,1,16,77,13,3,72,252,98,247,7,6,0,122,0,11,91,143,0,15,8,2,0,4,1,22,22,1,0,219,37,4,0,3,4,0,25,64,0,17,45,12,8,1,33,10,5,1,10,0,179,106,0,58,31,20,17,0,2,71,4,13,46,6,129,2,0,15,0,164,1,0,0,298,2,0,0,55,0,1,0,0,2,1,36,7,44,1,81,1,21,0,1,0,48,0,7,11,0,39,2,37,10,0,3,26,0,0,69,0,0,0,31,0,0,2,0,33,19,19,9,0,124,18,16,62,2,27,209,131,34,71,0,52,1,71,182,87,18,13
74,639,0,62,1,13,12,0,12,73,287,64,76,36,0,6,123,4,71,0,5,0,1,0,0,0,0,0,7,51,0,21,132,0,4,5,72,0,108,16,0,0,70,158,0,69,0,128,100,6,39,62,0,1,170,13,4,6,11,0,0,2,46,0,0,0,39,108,169,77,204,0,0,2,0,5,2,84,119,0,0,1,16,29,0,0,36,1,6,41,13,48,33,59,4,4,3,29,0,6,0,0,23,0,10,20,7,18,152,2,0,63,23,543,0,111,0,8,38,0,0,0,2,0,1,4,187,0,3,8,126,0,6,3,33,0,113,15,10,5,0,84,5,0,2,37,34,13,0,7,0,47,0,14,9,0,76,87,0,0,188,95,0,0,61,64,3,44,30,2,126,1,13,0,7,0,0,1,0,16,0,17,0,3,266,0,49,2,2,5,0,1,0,83,13,44,5,85,0,7,22,79,0,0,0,1,0,15,0,6,0,10,21,1,163,59,0,5,1,3,97,2,1,3,24,5,0,64,94,9,16,0,91,0,93,0,9,1,119,32,202,0,1,17,103,52,0,0,10,3,4,1,0,18,59,40
1,27,16,3,0,0,1,22,1,51,14,52,0,15,196,4,131,2,2,11,0,27,33,1,2,1,10,15,3,20,17,13,27,0,8,3,59,0,1,0,0,9,1,66,4,0,6,51,0,0,31,62,0,1,116,22,5,3,7,75,40,4,0,0,4,111,151,0,297,12,0,7,91,18,0,0,81,48,11,0,4,200,10,94,10,63,5,0,1,62,1,0,0,0,0,10,22,14,46,1,4,5,95,0,33,9,8,0,1,0,4,0,26,3,0,67,6,0,0,105,3,2,91,241,23,1,0,23,13,0,42,0,14,69,1,40,19,66,16,66,5,434,27,0,37,19,0,24,18,32,59,0,1,95,59,1,2,22,3,0,38,17,0,0,2,1,4,0,16,24,12,0,140,38,4,4,2,649,30,35,160,12,0,0,5,7,1,34,20,25,60,4,41,0,2,24,21,3,2,7,67,0,32,150,5,0,4,7,59,7,1,5,107,33,24,245,76,1,0,17,96,0,16,38,157,0,3,36,0,0,0,0,8,297,0,0,109,70,13,19,1,4,11,0,0,195,633,0,4,35,94,5,3,4,1,0
13,0,103,12,5,1,1,8,9,30,11,0,1,72,0,217,133,96,2,0,22,0,49,1,84,15,5,0,568,14,14,9,22,58,7,2,11,36,0,1,22,2,3,339,6,7,10,6,0,1,20,5,7,1173,1,0,7,28,11,74,1,2,0,0,5,25,0,4,62,0,126,1,0,1,45,54,0,51,36,11,165,4,8,0,5,33,328,24,15,88,3,4,0,3,1,0,0,92,3,0,2,2,8,20,0,2,17,18,1,2,1,0,0,3,18,73,17,0,31,0,27,29,0,0,6,84,6,0,4,31,3,25,108,244,2,2,0,0,0,0,0,1,59,0,0,33,2,1,0,0,0,0,21,0,2,453,1,78,13,57,0,54,8,0,2,8,0,40,126,0,65,10,68,0,0,1,2,5,5,3,0,2,72,0,0,0,0,0,4,51,74,5,0,53,7,71,5,13,23,111,157,0,4,53,0,109,41,1,7,0,76,0,33,84,0,0,3,51,64,0,254,64,8,19,0,2,136,0,0,11,0,3,1,144,0,3,2,2,6,0,0,0,2,247,0,86,33,0,5,0,68,0,0,3,2,3
134,0,70,5,2,20,0,1,0,0,2,5,21,21,1,19,3,4,8,0,54,1,235,195,4,2,0,41,10,13,177,14,20,1,24,6,4,3,0,0,36,0,24,77,4,1,202,18,27,0,13,32,16,13,98,84,129,106,3,0,0,11,278,0,4,0,0,14,0,1,2,7,1,12,0,2,32,1,3,1,4,3,9,15,30,68,148,7,18,30,25,6,1,53,53,87,2,33,450,5,1,0,9,0,5,0,9,0,4,5,15,12,1,4,1,1,109,10,3,0,24,2,34,1,59,3,0,0,91,0,4,46,0,2,29,7,65,19,9,1,6,0,13,54,5,224,158,36,8,41,3,50,5,35,0,5,10,11,0,66,242,1,4,679,0,7,4,231,1,11,1,0,2,10,1,1,75,7,124,130,39,210,10,0,89,1,5,103,12,0,0,342,12,2,0,0,26,18,0,4,11,0,0,8,38,83,164,23,0,0,0,4,39,64,0,76,0,0,8,88,1,3,0,0,2,1,0,0,1,1,0,1,60,46,128,218,186,9,15,0,34,0,52,4,0,1,47,43,1,20,10,9,10,61,5,23
